ra,dec,mag,ci,name
2.322972,48.95528,6.37,0.000,
2.275167,-51.51222,3.56,-0.120,
2.315833,28.64250,5.03,0.040,
2.316111,23.16778,6.46,0.340,
2.257917,-67.74639,5.69,1.300,
2.344833,47.31083,6.11,-0.080,
2.334556,30.18833,6.47,0.000,
2.322417,-2.97750,3.04,1.420,Mira
2.349500,50.15139,5.59,-0.130,
2.316250,-25.94556,6.34,0.730,
2.328000,-4.34556,6.50,0.080,
2.372611,55.84556,5.17,0.370,
2.323528,-41.84833,6.37,1.160,
2.380639,41.39639,5.82,0.270,
2.331750,-55.94472,5.81,1.550,
2.365722,0.39583,5.28,1.650,
2.397722,55.36444,6.28,0.860,
2.370111,-0.88500,5.42,0.310,
2.367056,-10.77778,5.46,0.350,
2.368056,-17.66222,5.87,1.230,
2.406917,50.00667,5.19,0.980,
2.375722,-23.81639,5.20,0.600,
2.421111,56.61000,6.25,0.310,
2.382722,-18.35444,6.22,0.940,
2.369944,-43.20000,6.31,1.000,
2.427056,50.27861,4.71,1.530,
2.381833,-51.09222,5.92,0.220,
2.413611,10.61056,5.47,-0.100,
2.405583,-25.84750,6.44,1.320,
2.416222,-2.78000,6.33,0.000,
2.362472,-68.65944,4.09,0.030,
2.409389,-40.84056,6.18,0.660,
2.484444,67.40250,4.52,0.120,
2.432500,-12.29056,4.89,-0.030,
2.464389,50.56972,6.12,0.410,
2.433417,-15.34111,5.83,0.150,
2.451944,27.01333,6.18,1.430,
2.457694,31.80139,5.54,1.120,
2.443111,-20.04278,5.88,1.260,
2.414972,-60.31194,5.35,0.390,
2.381194,-73.64583,5.01,1.090,
2.469444,29.66944,5.29,0.000,
2.469306,8.46000,4.28,-0.060,
2.466667,1.96083,6.45,0.970,
2.480139,29.93194,5.89,0.580,
2.449750,-47.70389,4.25,-0.140,
2.423972,-66.49472,6.41,1.540,
2.487111,23.46889,6.19,0.150,
2.467139,-33.81111,5.14,0.100,
2.493139,9.56583,6.07,1.020,
2.504611,33.83389,6.25,1.070,
2.476500,-31.10250,6.11,1.110,
2.509000,25.23500,5.92,0.410,
2.510667,19.85528,6.15,0.250,
2.515111,17.70389,6.23,0.900,
2.512556,0.25528,6.00,0.170,
2.467889,-64.29972,6.37,-0.040,
2.509111,-22.54556,6.10,1.610,
2.535056,36.14722,5.15,1.470,
2.525028,2.26722,5.25,1.270,
2.547917,34.54250,5.83,1.070,
2.535944,-1.03500,5.35,1.020,
2.534778,-15.24472,4.75,0.450,
2.548361,15.03472,6.04,0.540,
2.537444,-36.42750,6.30,1.020,
2.633889,72.81833,5.16,0.880,
2.551944,-34.65000,5.90,1.060,
2.561167,-20.00194,6.21,1.100,
2.591083,39.66444,6.36,-0.100,
2.626694,65.74556,5.78,1.560,
2.594111,37.31222,5.71,1.390,
2.564083,-28.23250,4.90,-0.050,
2.596333,34.68750,5.35,1.660,
2.584472,7.47139,6.18,1.060,
2.578528,-7.85944,5.75,1.400,
2.601361,6.88694,5.82,0.980,268 G. Cet
2.597917,5.59333,4.86,0.870,
2.565167,-51.09361,6.24,0.520,
2.615889,38.73278,5.90,0.480,
2.611917,31.60750,6.10,1.050,
